Year,Serie,RefArea,Value
2010,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"26,1"
2011,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"26,73"
2012,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"27,24"
2013,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"27,31"
2014,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"29,15"
2015,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"28,65"
2016,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"27,91"
2017,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"26,58"
2018,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"26,09"
2019,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"25,29"
2020,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",España,"26,42"
2010,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"27,3"
2011,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"26,1"
2012,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"22,6"
2013,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"22,2"
2014,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"20,1"
2015,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"22,1"
2016,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"17,4"
2017,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"14,4"
2018,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"20,4"
2019,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral nacional de pobreza",La Rioja,"15,2"
2010,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"25,24"
2011,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"25,85"
2012,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"26,42"
2013,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"26,68"
2014,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"28,36"
2015,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"27,37"
2016,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"26,83"
2017,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"26,11"
2018,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"25,23"
2019,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"24,45"
2020,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",España,"25,35"
2010,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"27,3"
2011,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"27,1"
2012,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"24,7"
2013,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"23,5"
2014,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"24,6"
2015,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"23,5"
